ensembl_gene_id	gene_id	symbol	type
NA	172210	pqn-52	protein-coding
NA	172211	cey-3	protein-coding
NA	172212	rmh-1	protein-coding
NA	172213	klp-15	protein-coding
NA	172214	M01E11.2	protein-coding
NA	172215	tns-1	protein-coding
NA	172216	vha-10	protein-coding
NA	172217	trpp-8	protein-coding
NA	172218	xrep-4	protein-coding
NA	172219	cey-2	protein-coding
NA	172220	F46F11.8	protein-coding
NA	172221	F46F11.1	protein-coding
NA	172222	col-53	protein-coding
NA	172223	F55F8.2	protein-coding
NA	172224	F55F8.3	protein-coding
NA	172225	cir-1	protein-coding
NA	172226	wdr-12	protein-coding
NA	172228	F55F8.7	protein-coding
NA	172229	ptr-10	protein-coding
NA	172230	zipt-2.4	protein-coding
NA	172231	dnj-21	protein-coding
NA	172232	T19B4.3	protein-coding
NA	172233	unc-40	protein-coding
NA	172234	npp-7	protein-coding
NA	172236	lim-7	protein-coding
NA	172237	C04F1.1	protein-coding
NA	172238	rpt-5	protein-coding
NA	172240	che-14	protein-coding
NA	172241	ccpp-1	protein-coding
NA	172242	hil-5	protein-coding
NA	172243	rnt-1	protein-coding
NA	172244	cpb-3	protein-coding
NA	172245	glh-3	protein-coding
NA	172246	mtk-1	protein-coding
NA	172247	vps-51	protein-coding
NA	172248	C32F10.4	protein-coding
NA	172249	lin-35	protein-coding
NA	172250	hmg-3	protein-coding
NA	172251	nhr-2	protein-coding
NA	172252	C32F10.8	protein-coding
NA	172253	obr-4	protein-coding
NA	172255	ceh-12	protein-coding
NA	172256	hpo-3	protein-coding
NA	172257	dhhc-3	protein-coding
NA	172258	F33D11.10	protein-coding
NA	172259	vpr-1	protein-coding
NA	172260	cdc-7	protein-coding
NA	172261	noah-1	protein-coding
NA	172262	pgp-2	protein-coding
NA	172263	tyr-4	protein-coding
NA	172264	stam-1	protein-coding
NA	172266	B0207.5	protein-coding
NA	172267	B0207.6	protein-coding
NA	172268	air-2	protein-coding
NA	172269	gpa-14	protein-coding
NA	172270	avr-14	protein-coding
NA	172273	C06A5.6	protein-coding
NA	172274	C06A5.3	protein-coding
NA	172275	unc-94	protein-coding
NA	172276	C06A5.8	protein-coding
NA	172277	rnf-1	protein-coding
NA	172278	csn-2	protein-coding
NA	172279	B0025.4	protein-coding
NA	172280	vps-34	protein-coding
NA	172281	C27A12.2	protein-coding
NA	172282	C27A12.6	protein-coding
NA	172283	C27A12.7	protein-coding
NA	172284	ari-1	protein-coding
NA	172285	C27A12.9	protein-coding
NA	172287	ZK484.4	protein-coding
NA	172288	haf-9	protein-coding
NA	172289	msrp-2	protein-coding
NA	172290	ZK484.6	protein-coding
NA	172291	oaz-1	protein-coding
NA	172292	nspd-1	protein-coding
NA	172293	spch-3	protein-coding
NA	172294	ssp-16	protein-coding
NA	172295	T27A3.7	protein-coding
NA	172296	usp-5	protein-coding
NA	172297	trak-1	protein-coding
NA	172298	pept-3	protein-coding
NA	172299	ttr-58	protein-coding
NA	172300	T09B4.5	protein-coding
NA	172301	T09B4.8	protein-coding
NA	172302	tin-44	protein-coding
NA	172303	chn-1	protein-coding
NA	172304	T09B4.2	protein-coding
NA	172305	pigv-1	protein-coding
NA	172306	T05E7.3	protein-coding
NA	172307	T05E7.4	protein-coding
NA	172308	vet-1	protein-coding
NA	172309	T05E7.1	protein-coding
NA	172310	ech-1.2	protein-coding
NA	172311	fars-1	protein-coding
NA	172312	rbm-5	protein-coding
NA	172313	rps-17	protein-coding
NA	172314	T08B2.11	protein-coding
NA	172315	T08B2.12	protein-coding
NA	172316	C48E7.7	protein-coding
NA	172317	C48E7.6	protein-coding
NA	172318	spp-15	protein-coding
NA	172319	cebp-2	protein-coding
NA	172320	lpd-2	protein-coding
NA	172321	let-611	protein-coding
NA	172322	C48E7.1	protein-coding
NA	172323	oac-9	protein-coding
NA	172324	C10G11.8	protein-coding
NA	172325	spch-2	protein-coding
NA	172326	chdp-1	protein-coding
NA	172327	pnk-1	protein-coding
NA	172328	F26B1.5	protein-coding
NA	172329	ima-2	protein-coding
NA	172330	hrpk-1	protein-coding
NA	172331	let-381	protein-coding
NA	172332	F26B1.1	protein-coding
NA	172333	bli-4	protein-coding
NA	172334	K04F10.3	protein-coding
NA	172335	K04F10.7	protein-coding
NA	172336	ZC308.4	protein-coding
NA	172338	gld-2	protein-coding
NA	172339	klu-2	protein-coding
NA	172340	cuti-1	protein-coding
NA	172341	ZC328.5	protein-coding
NA	172342	san-1	protein-coding
NA	172343	ZC328.3	protein-coding
NA	172344	rbx-2	protein-coding
NA	172345	ncbp-1	protein-coding
NA	172346	snt-4	protein-coding
NA	172347	T23H2.3	protein-coding
NA	172348	npp-12	protein-coding
NA	172350	knl-2	protein-coding
NA	172351	acdh-3	protein-coding
NA	172352	K06A5.3	protein-coding
NA	172353	cdc-25.1	protein-coding
NA	172354	K06A5.1	protein-coding
NA	172355	nmtn-1	protein-coding
NA	172357	dbr-1	protein-coding
NA	172358	acdh-1	protein-coding
NA	172359	C55B7.3	protein-coding
NA	172360	gly-2	protein-coding
NA	172361	glh-2	protein-coding
NA	172362	T10E9.4	protein-coding
NA	172363	nuo-2	protein-coding
NA	172364	T10E9.3	protein-coding
NA	172365	T10E9.2	protein-coding
NA	172366	T10E9.1	protein-coding
NA	172367	acdh-4	protein-coding
NA	172368	F57B10.8	protein-coding
NA	172369	spg-20	protein-coding
NA	172370	dad-1	protein-coding
NA	172371	tre-1	protein-coding
NA	172372	F57B10.5	protein-coding
NA	172373	bag-1	protein-coding
NA	172374	mei-2	protein-coding
NA	172375	F57B10.4	protein-coding
NA	172376	ipgm-1	protein-coding
NA	172378	D2092.4	protein-coding
NA	172380	D2092.8	protein-coding
NA	172381	ppfr-2	protein-coding
NA	172382	mctp-1	protein-coding
NA	172383	ZC581.3	protein-coding
NA	172385	ZC581.9	protein-coding
NA	172386	C17F3.1	protein-coding
NA	172387	T23B3.5	protein-coding
NA	172388	T23B3.1	protein-coding
NA	172389	mec-6	protein-coding
NA	172390	lbp-6	protein-coding
NA	172391	smg-5	protein-coding
NA	172392	dhod-1	protein-coding
NA	172393	cytb-5.2	protein-coding
NA	172394	unc-37	protein-coding
NA	172395	hrpf-1	protein-coding
NA	172396	gpc-2	protein-coding
NA	172397	unc-87	protein-coding
NA	172398	pqn-21	protein-coding
NA	172399	cye-1	protein-coding
NA	172400	acdh-5	protein-coding
NA	172401	C37A2.7	protein-coding
NA	172402	pqn-20	protein-coding
NA	172404	C37A2.8	protein-coding
NA	172405	E02D9.1	protein-coding
NA	172406	teg-4	protein-coding
NA	172408	ahcy-1	protein-coding
NA	172409	dpf-3	protein-coding
NA	172410	dpy-14	protein-coding
NA	172411	syp-4	protein-coding
NA	172412	rpb-5	protein-coding
NA	172413	sacy-1	protein-coding
NA	172414	glh-1	protein-coding
NA	172415	smz-2	protein-coding
NA	172416	T21G5.2	protein-coding
NA	172418	smg-1	protein-coding
NA	172419	C48B6.3	protein-coding
NA	172420	C48B6.2	protein-coding
NA	172421	C48B6.10	protein-coding
NA	172422	ztf-4	protein-coding
NA	172423	cerk-1	protein-coding
