ensembl_gene_id	gene_id	symbol	type
NA	850803	HOG1	protein-coding
NA	850804	tR(ACG)L	tRNA
NA	850805	AVL9	protein-coding
NA	850806	CFT2	protein-coding
NA	850807	MSL5	protein-coding
NA	850808	CLF1	protein-coding
NA	850809	YLR118C	protein-coding
NA	850810	SRN2	protein-coding
NA	850811	YPS1	protein-coding
NA	850812	YPS3	protein-coding
NA	850813	YLR122C	protein-coding
NA	850816	YLR125W	protein-coding
NA	850817	YLR126C	protein-coding
NA	850818	APC2	protein-coding
NA	850819	DCN1	protein-coding
NA	850820	DIP2	protein-coding
NA	850821	ZRT2	protein-coding
NA	850822	ACE2	protein-coding
NA	850823	USB1	protein-coding
NA	850824	CKI1	protein-coding
NA	850825	PDC5	protein-coding
NA	850826	SLX4	protein-coding
NA	850827	TIS11	protein-coding
NA	850828	RKM5	protein-coding
NA	850829	NHA1	protein-coding
NA	850830	SLS1	protein-coding
NA	850832	RRN5	protein-coding
NA	850833	PUT1	protein-coding
NA	850834	tD(GUC)L1	tRNA
NA	850835	DPH6	protein-coding
NA	850836	ACF2	protein-coding
NA	850837	RMP1	protein-coding
NA	850838	SPE4	protein-coding
NA	850839	SMD3	protein-coding
NA	850840	PEP3	protein-coding
NA	850841	YLR149C	protein-coding
NA	850843	STM1	protein-coding
NA	850844	PCD1	protein-coding
NA	850845	YLR152C	protein-coding
NA	850846	ACS2	protein-coding
NA	850847	RNH203	protein-coding
NA	850848	tQ(UUG)L	tRNA
NA	850849	TAR1	protein-coding
NA	850850	ASP3-1	protein-coding
NA	850851	YLR156W	protein-coding
NA	850852	ASP3-2	protein-coding
NA	850853	YLR157C-B	protein-coding
NA	850854	YLR157C-A	protein-coding
NA	850855	ASP3-3	protein-coding
NA	850856	YLR159W	protein-coding
NA	850857	ASP3-4	protein-coding
NA	850858	YLR161W	protein-coding
NA	850859	YLR162W	protein-coding
NA	850860	MAS1	protein-coding
NA	850861	SHH4	protein-coding
NA	850862	PUS5	protein-coding
NA	850863	SEC10	protein-coding
NA	850864	RPS31	protein-coding
NA	850865	UPS2	protein-coding
NA	850868	APS1	protein-coding
NA	850869	DPH5	protein-coding
NA	850870	YLR173W	protein-coding
NA	850871	IDP2	protein-coding
NA	850872	CBF5	protein-coding
NA	850873	RFX1	protein-coding
NA	850874	YLR177W	protein-coding
NA	850875	TFS1	protein-coding
NA	850876	YLR179C	protein-coding
NA	850877	SAM1	protein-coding
NA	850878	VTA1	protein-coding
NA	850879	SWI6	protein-coding
NA	850880	TOS4	protein-coding
NA	850882	RPL37A	protein-coding
NA	850883	EMG1	protein-coding
NA	850884	SKG3	protein-coding
NA	850885	MDL1	protein-coding
NA	850886	ATG26	protein-coding
NA	850887	MMR1	protein-coding
NA	850888	PEX13	protein-coding
NA	850889	HCR1	protein-coding
NA	850890	UPS1	protein-coding
NA	850891	NCW2	protein-coding
NA	850892	NMT1	protein-coding
NA	850893	PWP1	protein-coding
NA	850894	NOP56	protein-coding
NA	850896	PBA1	protein-coding
NA	850897	YKE2	protein-coding
NA	850898	COQ9	protein-coding
NA	850900	MSS51	protein-coding
NA	850901	QRI5	protein-coding
NA	850902	HMX1	protein-coding
NA	850903	ENT2	protein-coding
NA	850904	HRD3	protein-coding
NA	850905	SEC13	protein-coding
NA	850906	PNP1	protein-coding
NA	850907	CLB4	protein-coding
NA	850908	ATG38	protein-coding
NA	850909	TUB4	protein-coding
NA	850910	CRR1	protein-coding
NA	850911	FRE1	protein-coding
NA	850912	CDC123	protein-coding
NA	850914	CPR6	protein-coding
NA	850915	COA4	protein-coding
NA	850916	MSC3	protein-coding
NA	850917	CCC1	protein-coding
NA	850918	RSA3	protein-coding
NA	850919	UTP13	protein-coding
NA	850920	IFH1	protein-coding
NA	850921	UCC1	protein-coding
NA	850922	YLR225C	protein-coding
NA	850923	BUR2	protein-coding
NA	850924	ADY4	protein-coding
NA	850925	tL(UAG)L1	tRNA
NA	850926	YLR227W-A	protein-coding
NA	850927	YLR227W-B	protein-coding
NA	850928	ECM22	protein-coding
NA	850930	CDC42	protein-coding
NA	850931	tI(UAU)L	tRNA
NA	850933	BNA5	protein-coding
NA	850934	EST1	protein-coding
NA	850935	TOP3	protein-coding
NA	850937	YLR236C	protein-coding
NA	850938	THI7	protein-coding
NA	850939	FAR10	protein-coding
NA	850940	LIP2	protein-coding
NA	850941	VPS34	protein-coding
NA	850942	CSC1	protein-coding
NA	850943	ARV1	protein-coding
NA	850944	GPN3	protein-coding
NA	850945	MAP1	protein-coding
NA	850946	CDD1	protein-coding
NA	850947	ERF2	protein-coding
NA	850948	tL(CAA)L	tRNA
NA	850949	IRC20	protein-coding
NA	850950	RCK2	protein-coding
NA	850951	YEF3	protein-coding
NA	850952	SSP120	protein-coding
NA	850953	SYM1	protein-coding
NA	850955	MCP2	protein-coding
NA	850956	NDL1	protein-coding
NA	850957	YLR255C	protein-coding
NA	850958	HAP1	protein-coding
NA	850959	YLR256W-A	protein-coding
NA	850960	tA(AGC)L	tRNA
NA	850961	YLR257W	protein-coding
NA	850962	GSY2	protein-coding
NA	850963	HSP60	protein-coding
NA	850964	LCB5	protein-coding
NA	850965	VPS63	protein-coding
NA	850966	YPT6	protein-coding
NA	850967	TMA7	protein-coding
NA	850968	RED1	protein-coding
NA	850969	RPS28B	protein-coding
NA	850970	NEJ1	protein-coding
NA	850971	PDR8	protein-coding
NA	850972	BOP2	protein-coding
NA	850973	SEC22	protein-coding
NA	850974	DCS1	protein-coding
NA	850976	CMG1	protein-coding
NA	850977	YCS4	protein-coding
NA	850978	tV(AAC)L	tRNA
NA	850979	PIG1	protein-coding
NA	850980	MCM5	protein-coding
NA	850981	SMD2	protein-coding
NA	850982	DBP9	protein-coding
NA	850983	YSH1	protein-coding
NA	850984	YLR278C	protein-coding
NA	850987	YLR281C	protein-coding
NA	850988	YLR283W	protein-coding
NA	850990	ECI1	protein-coding
NA	850991	NNT1	protein-coding
NA	850992	CTS1	protein-coding
NA	850993	YLR287C	protein-coding
