geo_accession	age	batch_cov1	batch_cov2	batch_cov3	batch_cov4	batch_cov5	batch_cov6	batch_cov7	batch_cov8	batch_cov9	batch_cov10	batch_cov11	batch_cov12	batch_cov13	batch_cov14	batch_cov15	batch_cov16	site_cov1
GSM2457531	76.66666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457532	60	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457533	60	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457534	65.83333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457535	72.58333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457536	63	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457537	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457538	57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457539	57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457540	55	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457541	70.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457542	60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457543	60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457544	67	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457545	67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457546	54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457547	54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457548	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457549	58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457550	55.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457551	66	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457552	66	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457553	68.58333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457554	53.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457555	53.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457556	52.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457557	52.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457558	62	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457559	62	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457560	58	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457561	55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GSM2457562	55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
GSM2457563	70	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457564	70	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457565	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457566	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457567	61	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GSM2457568	61	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
GSM2457569	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457570	68.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457571	71	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457572	71	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457573	72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457574	72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457575	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457576	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457577	60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457578	65.75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457579	63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457580	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457581	79	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457582	79	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457583	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457584	58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457585	58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457586	62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GSM2457587	62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
GSM2457588	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457589	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457590	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457591	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457592	68	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GSM2457593	68	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
GSM2457594	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457595	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457596	58.83333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457597	78	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457598	78	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457599	52.58333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457600	52.58333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457601	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457602	65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457603	65	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457604	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457605	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457606	66.08333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457607	51	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457608	51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457609	79	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457610	79	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457611	75.91666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457612	57.83333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457613	57.83333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457614	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457615	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457616	66	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457617	66	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457618	68	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457619	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457620	71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457621	60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457622	60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457623	74	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GSM2457624	74	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
GSM2457625	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457626	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457627	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457628	63	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457629	62.16666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457630	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457631	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457632	54.33333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457633	59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457634	59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457635	57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457636	57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457637	71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457638	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457639	61.83333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457640	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457641	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457642	68	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GSM2457643	68	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
GSM2457644	72	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457645	72	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457646	68	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457647	68	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457648	60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457649	60	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
